"search-number","evaluation","evals-requested-so-far","number*","%-similar-wanted*","number-of-ethnicities*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","83","160","1300","22","4","""1032834367""","48.769230769230774","48.769230769230774","48.769230769230774","0","48.769230769230774"
"1","84","160","1300","22","4","""74441048""","47.76923076923077","47.76923076923077","47.76923076923077","0","47.76923076923077"
"1","85","160","1300","22","4","""-1132062944""","49.23076923076923","49.23076923076923","49.23076923076923","0","49.23076923076923"
"1","86","160","1300","22","4","""376577919""","45.84615384615385","45.84615384615385","45.84615384615385","0","45.84615384615385"
"1","87","160","1300","22","4","""-1167288814""","49.30769230769231","49.30769230769231","49.30769230769231","0","49.30769230769231"
"1","88","160","1300","22","4","""22382546""","44","44","44","0","44"
"1","89","160","1300","22","4","""-1699820136""","47.76923076923077","47.76923076923077","47.76923076923077","0","47.76923076923077"
"1","90","160","1300","22","4","""-515122683""","45.69230769230769","45.69230769230769","45.69230769230769","0","45.69230769230769"
"1","91","160","1320","76","4","""-1558307915""","46.27539503386004","97.5","77.74879558087888","17.327918911795173","46.27539503386004"
"1","92","160","1320","76","4","""1594278569""","47.86967418546366","97.65151515151516","76.14265380898865","17.41246328193998","47.86967418546366"
"1","93","160","1320","76","4","""-390222286""","41.41414141414141","97.5736568457539","74.93443229145085","17.265950339199478","41.41414141414141"
"1","94","160","1320","76","4","""1419752702""","48.091603053435115","97.65151515151516","74.83788445164092","17.660594005733408","48.091603053435115"
"1","95","160","1320","76","4","""1848659612""","48.984771573604064","97.42424242424242","75.36665763397842","17.389914925920127","48.984771573604064"
"1","96","160","1320","76","4","""1015237728""","48.9051094890511","97.34848484848484","77.15978918968696","16.448259558070077","48.9051094890511"
"1","97","160","1320","76","4","""-613982304""","45.26854219948849","96.96969696969697","74.92533144372648","17.39952965489551","45.26854219948849"
"1","98","160","1320","76","4","""1981831364""","49.74226804123711","97.42424242424242","74.96489490687739","17.525547892539304","49.74226804123711"
